policy,nodes,episodes,success_rate,split_vote_rate,best_node_win_rate,average_failover_ms,average_rounds,average_candidates_started
static,50,500,1.0,0.476,0.036,775.990559649976,1.476,73.8
dynatune_like,50,500,1.0,0.0,0.39,300.85504312603194,1.0,50.0
learned,50,500,1.0,0.0,0.782,353.85156206118216,1.0,42.518
