policy,nodes,episodes,success_rate,split_vote_rate,best_node_win_rate,average_failover_ms,average_rounds,average_candidates_started
static,50,500,0.826,2.236,0.102,3350.5263267336627,3.062,37.26
dynatune_like,50,500,1.0,0.11,0.478,481.3255501560213,1.11,2.3
learned,50,500,1.0,0.09,0.848,537.7300286874787,1.09,1.932
