policy,nodes,episodes,success_rate,split_vote_rate,best_node_win_rate,average_failover_ms,average_rounds,average_candidates_started
static,50,1000,0.832,2.366,0.104,3537.061409799302,3.198,39.201
dynatune_like,50,1000,1.0,0.135,0.43,521.7541138325022,1.135,2.374
learned,50,1000,1.0,0.144,0.828,566.7376761801063,1.144,2.421
