policy,nodes,episodes,success_rate,split_vote_rate,best_node_win_rate,average_failover_ms,average_rounds,average_candidates_started
static,50,1000,0.866,2.294,0.11,3443.9736352774066,3.16,37.842
dynatune_like,50,1000,1.0,0.144,0.456,537.6553040322351,1.144,2.461
learned,50,1000,1.0,0.207,0.594,620.5369958726862,1.207,3.364
