policy,nodes,episodes,success_rate,split_vote_rate,best_node_win_rate,average_failover_ms,average_rounds,average_candidates_started
static,50,100,0.81,2.48,0.1,3686.3822407512866,3.29,40.27
dynatune_like,50,100,1.0,0.08,0.44,435.48024743368677,1.08,2.28
learned,50,100,1.0,0.14,0.85,632.5310955367008,1.14,2.04
