policy,nodes,episodes,success_rate,split_vote_rate,best_node_win_rate,average_failover_ms,average_rounds,average_candidates_started
static,20,20,0.95,1.9,0.1,2916.4636760699445,2.85,19.0
dynatune_like,20,20,1.0,0.15,0.6,573.9790740229498,1.15,2.05
learned,20,20,1.0,0.15,0.9,623.9710922176646,1.15,1.6
